Name,Rgb
Lilac,"(200, 162, 200)"
Lilac Luster,"(174, 152, 170)"
Lime Green,"(50, 205, 50)"
Lincoln Green,"(25, 89, 5)"
Linen,"(250, 240, 230)"
Little Boy,"(108, 160, 220)"
M S,"(24, 69, 59)"
Macaroni Cheese,"(255, 189, 136)"
Madder Lake,"(204, 51, 54)"
Magenta,"(255, 0, 255)"
Magenta Crayola,"(246, 83, 166)"
Magenta Pantone,"(208, 65, 126)"
Magenta Haze,"(159, 69, 118)"
Magenta,"(238, 0, 238)"
Magenta,"(205, 0, 205)"
Magenta,"(139, 0, 139)"
Magic Mint,"(170, 240, 209)"
Mahogany,"(192, 64, 0)"
Majorelle Blue,"(96, 80, 220)"
Malachite,"(11, 218, 81)"
Manatee,"(151, 154, 170)"
Mandarin,"(243, 122, 72)"
Mango,"(253, 190, 2)"
Mango Tango,"(255, 130, 67)"
Mantis,"(116, 195, 101)"
Marigold,"(234, 162, 33)"
Maroon,"(176, 48, 96)"
Maroon,"(255, 52, 179)"
Maroon,"(238, 48, 167)"
Maroon,"(205, 41, 144)"
Maroon,"(139, 28, 98)"
Mauve,"(224, 176, 255)"
Mauve Taupe,"(145, 95, 109)"
Mauvelous,"(239, 152, 170)"
Maximum Blue,"(48, 191, 191)"
Maximum Blue,"(172, 172, 230)"
Maximum Green,"(94, 140, 49)"
Maxmum Blue,"(71, 171, 204)"
May Green,"(76, 145, 65)"
Maya Blue,"(115, 194, 251)"
Medium,"(102, 205, 170)"
Medium Aquamarine,"(102, 221, 170)"
Medium Candy,"(226, 6, 44)"
Medium Carmine,"(175, 64, 53)"
Medium Champagne,"(243, 229, 171)"
Medium Aquamarine,"(102, 205, 170)"
Medium Blue,"(0, 0, 205)"
Medium Orchid,"(186, 85, 211)"
Medium Orchid,"(224, 102, 255)"
Medium Orchid,"(209, 95, 238)"
Medium Orchid,"(180, 82, 205)"
Medium Orchid,"(122, 55, 139)"
Medium Purple,"(147, 112, 219)"
Medium Purple,"(171, 130, 255)"
Medium Purple,"(159, 121, 238)"
Medium Purple,"(137, 104, 205)"
Medium Purple,"(93, 71, 139)"
Medium Sea,"(60, 179, 113)"
Medium Slate,"(123, 104, 238)"
Medium Spring,"(0, 250, 154)"
Medium Turquoise,"(72, 209, 204)"
Medium Violet,"(199, 21, 133)"
Mellow Apricot,"(248, 184, 120)"
Melon,"(254, 186, 173)"
Metallic Gold,"(211, 175, 55)"
Metallic Seaweed,"(10, 126, 140)"
Metallic Sunburst,"(156, 124, 56)"
Mexican Pink,"(228, 0, 124)"
Middle Blue,"(126, 212, 230)"
Middle Blue,"(141, 217, 204)"
Middle Blue,"(139, 114, 190)"
Middle Green,"(77, 140, 87)"
Middle Green,"(172, 191, 96)"
Middle Grey,"(139, 134, 128)"
Middle Purple,"(217, 130, 181)"
Middle Red,"(229, 142, 115)"
Middle Red,"(165, 83, 83)"
Middle Yellow,"(255, 235, 0)"
Middle Yellow,"(236, 177, 118)"
Midnight Green,"(0, 73, 83)"
Midnight Blue,"(25, 25, 112)"
Mikado Yellow,"(255, 196, 12)"
Mimi Pink,"(255, 218, 233)"
Mindaro,"(227, 249, 136)"
Minion Yellow,"(245, 224, 80)"
Mint,"(62, 180, 137)"
Mint Green,"(152, 255, 152)"
Mint Cream,"(245, 255, 250)"
Misty Moss,"(187, 180, 119)"
Misty Rose,"(255, 228, 225)"
Misty Rose,"(238, 213, 210)"
